Input	Predicted	Actual
-2	-0,954861415380907	-0,909297426825682
-1,75	-0,951811516134339	-0,983985946873937
-1,5	-0,942969157477187	-0,997494986604054
-1,25	-0,917365879926269	-0,948984619355586
-1	-0,843966397721345	-0,841470984807897
-0,75	-0,685354044492135	-0,681638760023334
-0,5	-0,473239637902307	-0,479425538604203
-0,25	-0,255559497572842	-0,247403959254523
0	-0,0242368413781308	0
0,25	0,23666994321783	0,247403959254523
0,5	0,502240852309644	0,479425538604203
0,75	0,71224682975337	0,681638760023334
1	0,838741133535056	0,841470984807897
1,25	0,903201951096354	0,948984619355586
1,5	0,93475780752218	0,997494986604054
1,75	0,950755064308377	0,983985946873937
2	0,959348847706311	0,909297426825682
