Input	Predicted	Actual
-2	-0,594669199596729	-0,909297426825682
-1,8	-0,580824222253035	-0,973847630878195
-1,6	-0,560850073546753	-0,999573603041505
-1,4	-0,533043639731099	-0,98544972998846
-1,2	-0,495210488501643	-0,932039085967226
-1	-0,444780018886562	-0,841470984807897
-0,8	-0,379244451546697	-0,717356090899523
-0,6	-0,297105603390795	-0,564642473395035
-0,4	-0,199270004169068	-0,38941834230865
-0,2	-0,0902116912956524	-0,198669330795061
0	0,0222987147988741	0
0,2	0,129430203116588	0,198669330795061
0,4	0,224236585738911	0,38941834230865
0,6	0,303313198682481	0,564642473395035
0,8	0,366523867815325	0,717356090899523
1	0,415701660596157	0,841470984807897
1,2	0,453395703657189	0,932039085967226
1,4	0,482104624612468	0,98544972998846
1,6	0,503950769798123	0,999573603041505
1,8	0,520612648234052	0,973847630878195
2	0,533370156751667	0,909297426825682
